阿罗汉,a'luo'han
彼佛如来,bi'fo'ru'lai
彼佛刹中,bi'fo'sha'zhong
彼佛寿量,bi'fo'shou'liang
彼国菩萨,bi'guo'pu'sa
彼国人民有胎生者,bi'guo'ren'min'you'tai'sheng'zhe
比海孰多,bi'hai'shu'duo
彼化生者,bi'hua'sheng'zhe
彼极乐国,bi'ji'le'guo
彼极乐界,bi'ji'le'jie
彼见此土,bi'jian'ci'tu
彼莲华量,bi'lian'hua'liang
彼目犍连等所知数者,bi'mu'jian'lian'deng'suo'zhi'shu'zhe
彼人临终,bi'ren'lin'zhong
彼如来国,bi'ru'lai'guo
闭塞诸恶道,bi'se'zhu'e'dao
彼无量亿诸菩萨等,bi'wu'liang'yi'zhu'pu'sa'deng
彼有,bi'you
彼有无数诸菩萨众,bi'you'wu'shu'zhu'pu'sa'zhong
彼幽絷时,bi'you'zhi'shi
彼于前世住菩萨道,bi'yu'qian'shi'zhu'pu'sa'dao
必于无量尊,bi'yu'wu'liang'zun
比之忉利天王,bi'zhi'dao'li'tian'wang
必至无上道,bi'zhi'wu'shang'dao
彼中清净,bi'zhong'qing'jing
彼诸菩萨,bi'zhu'pu'sa
彼诸有情,bi'zhu'you'qing
辩才总持,bian'cai'zong'chi
便持经戒,bian'chi'jing'jie
边地疑城第四十,bian'di'yi'cheng'di'si'shi
遍佛刹不,bian'fo'sha'bu
遍覆三千大千世界,bian'fu'san'qian'da'qian'shi'jie
遍供无数无量诸佛,bian'gong'wu'shu'wu'liang'zhu'fo
遍供诸佛愿,bian'gong'zhu'fo'yuan
遍满佛土,bian'man'fo'tu
便一其心,bian'yi'qi'xin
遍游佛刹,bian'you'fo'sha
遍游一切佛土,bian'you'yi'qie'fo'tu
便于七宝华中自然化生,bian'yu'qi'bao'hua'zhong'zi'ran'hua'sheng
遍照东方恒沙佛刹,bian'zhao'dong'fang'heng'sha'fo'sha
遍照十方国,bian'zhao'shi'fang'guo
遍至十方供养诸佛不,bian'zhi'shi'fang'gong'yang'zhu'fo'bu
遍诸佛国,bian'zhu'fo'guo
表里相应,biao'li'xiang'ying
兵戈无用,bing'ge'wu'yong
病极苦痛,bing'ji'ku'tong
并现种种希有神变,bing'xian'zhong'zhong'xi'you'shen'bian
波罗蜜多,bo'luo'mi'duo
波罗蜜声,bo'luo'mi'sheng
钵昙摩华,bo'tan'mo'hua
波扬无量微妙音声,bo'yang'wu'liang'wei'miao'yin'sheng
不存师友之义,bu'cun'shi'you'zhi'yi
不但我刹诸菩萨等,bu'dan'wo'sha'zhu'pu'sa'deng
不当嗔怒,bu'dang'chen'nu
不得,bu'de
不得狐疑,bu'de'hu'yi
不得亏失,bu'de'kui'shi
不得是愿,bu'de'shi'yuan
不得贪餮悭惜,bu'de'tan'tie'qian'xi
不得修习功德,bu'de'xiu'xi'gong'de
不得中悔,bu'de'zhong'hui
不堕恶趣愿,bu'duo'e'qu'yuan
不犯诸恶,bu'fan'zhu'e
不复更堕恶趣,bu'fu'geng'duo'e'qu
不敢蹉跌,bu'gan'cuo'die
不敢违失,bu'gan'wei'shi
不敢有疑,bu'gan'you'yi
不顾前后,bu'gu'qian'hou
不鼓自然皆作五音,bu'gu'zi'ran'jie'zuo'wu'yin
不讥他过,bu'ji'ta'guo
不及天界,bu'ji'tian'jie
不计众苦,bu'ji'zhong'ku
不见菩萨,bu'jian'pu'sa
不见三宝,bu'jian'san'bao
不惊不怖,bu'jing'bu'bu
不可常保,bu'ke'chang'bao
不可称计,bu'ke'cheng'ji
不可称说,bu'ke'cheng'shuo
不可称智,bu'ke'cheng'zhi
不可复计,bu'ke'fu'ji
不可计倍,bu'ke'ji'bei
不可谏晓,bu'ke'jian'xiao
不可胜视,bu'ke'sheng'shi
不可胜数,bu'ke'sheng'shu
不可胜言,bu'ke'sheng'yan
不可思议,bu'ke'si'yi
不可思议功德,bu'ke'si'yi'gong'de
不可思议业力所致,bu'ke'si'yi'ye'li'suo'zhi
不可为比,bu'ke'wei'bi
不可限极,bu'ke'xian'ji
不肯施惠,bu'ken'shi'hui
不肯施与,bu'ken'shi'yu
不肯为善,bu'ken'wei'shan
不肯作善,bu'ken'zuo'shan
不离情欲,bu'li'qing'yu
不良之人,bu'liang'zhi'ren
不了佛智,bu'liao'fo'zhi
不能超过,bu'neng'chao'guo
不能得出,bu'neng'de'chu
不能开导于他路,bu'neng'kai'dao'yu'ta'lu
不能了知建立彼因故,bu'neng'le'zhi'jian'li'bi'yin'gu
不能离家,bu'neng'li'jia
不能离相,bu'neng'li'xiang
不能前至无量寿所,bu'neng'qian'zhi'wu'liang'shou'suo
不能忍辱,bu'neng'ren'ru
不能深思熟计,bu'neng'shen'si'shu'ji
不能生信,bu'neng'sheng'xin
不能随意高大,bu'neng'sui'yi'gao'da
不能现证不退转者,bu'neng'xian'zheng'bu'tui'zhuan'zhe
不能忧念,bu'neng'you'nian
不起贪嗔痴欲诸想,bu'qi'tan'chen'chi'yu'zhu'xiang
不求佛慧,bu'qiu'fo'hui
不求佛刹,bu'qiu'fo'sha
不求生彼,bu'qiu'sheng'bi
不取无上正觉,bu'qu'wu'shang'zheng'jue
不取正觉,bu'qu'zheng'jue
不仁不顺,bu'ren'bu'shun
不入,bu'ru
不如坚勇求正觉,bu'ru'jian'yong'qiu'zheng'jue
不如无子,bu'ru'wu'zi
不生退屈谄伪之心,bu'sheng'tui'qu'chan'wei'zhi'xin
不生违背,bu'sheng'wei'bei
不生欣乐,bu'sheng'xin'le
不生疑惑,bu'sheng'yi'huo
不生忧恼,bu'sheng'you'nao
不识道德,bu'shi'dao'de
不失定意,bu'shi'ding'yi
布施累劫诸天人民,bu'shi'lei'jie'zhu'tian'ren'min
不失律仪,bu'shi'lv'yi
不失其所愿也,bu'shi'qi'suo'yuan'ye
不识人情,bu'shi'ren'qing
不受恶趣,bu'shou'e'qu
不思慕及,bu'si'mu'ji
不思议光,bu'si'yi'guang
不思议业,bu'si'yi'ye
不思议智,bu'si'yi'zhi
不贪计身愿,bu'tan'ji'shen'yuan
不退菩萨,bu'tui'pu'sa
不退菩萨当往生者,bu'tui'pu'sa'dang'wang'sheng'zhe
不惟父母之恩,bu'wei'fu'mu'zhi'en
不为增多,bu'wei'zeng'duo
不为众恶,bu'wei'zhong'e
不闻经法,bu'wen'jing'fa
不闻三途恶恼苦难之名,bu'wen'san'tu'e'nao'ku'nan'zhi'ming
不误倾邪,bu'wu'qing'xie
不务修善,bu'wu'xiu'shan
不希求想,bu'xi'qiu'xiang
不暇大修斋戒,bu'xia'da'xiu'zhai'jie
不相及逮,bu'xiang'ji'dai
不孝父母,bu'xiao'fu'mu
不信经法,bu'xin'jing'fa
不信生死善恶,bu'xin'sheng'si'shan'e
不欣世语,bu'xin'shi'yu
不信向耳,bu'xin'xiang'er
不信诸佛经法,bu'xin'zhu'fo'jing'fa
不也世尊,bu'ye'shi'zun
不应疑悔,bu'ying'yi'hui
不由他悟,bu'you'ta'wu
不豫修善,bu'yu'xiu'shan
不杂余宝,bu'za'yu'bao
不知菩萨法式,bu'zhi'pu'sa'fa'shi
不知生所从来,bu'zhi'sheng'suo'cong'lai
不知为善,bu'zhi'wei'shan
不种善根,bu'zhong'shan'gen
不著如风,bu'zhu'ru'feng
不著色声香味触法,bu'zhu'se'sheng'xiang'wei'chu'fa
不自惭惧,bu'zi'can'ju
才达,cai'da
才猛智慧,cai'meng'zhi'hui
残害杀伤,can'hai'sha'shang
层楼绮殿,ceng'lou'qi'dian
曾无一善,ceng'wu'yi'shan
禅定,chan'ding
禅定智慧,chan'ding'zhi'hui
常不见佛,chang'bu'jian'fo
常处轮回,chang'chu'lun'hui
畅发和雅音,chang'fa'he'ya'yin
长跪合掌,chang'gui'he'zhang
常怀慈忍,chang'huai'ci'ren
常怀盗心,chang'huai'dao'xin
常怀骄慢,chang'huai'jiao'man
常怀邪恶,chang'huai'xie'e
长久广大,chang'jiu'guang'da
常乐修行,chang'le'xiu'xing
常念不绝,chang'nian'bu'jue
常念师恩,chang'nian'shi'en
常念淫泆,chang'nian'yin'yi
尝其果味,chang'qi'guo'wei
常如一法,chang'ru'yi'fa
常识宿命,chang'shi'su'ming
常为诸佛所共称赞,chang'wei'zhu'fo'suo'gong'cheng'zan
常习相应无边诸行,chang'xi'xiang'ying'wu'bian'zhu'xing
常行布施及戒忍,chang'xing'bu'shi'ji'jie'ren
常修殊胜梵行,chang'xiu'shu'sheng'fan'xing
长夜无忧恼,chang'ye'wu'you'nao
常以法音觉诸世间,chang'yi'fa'yin'jue'zhu'shi'jian
常运慈心拔有情,chang'yun'ci'xin'ba'you'qing
常在阿弥陀佛左右,chang'zai'e'mi'tuo'fo'zuo'you
常照光,chang'zhao'guang
常作天人师,chang'zuo'tian'ren'shi
超过世间诸所有法,chao'guo'shi'jian'zhu'suo'you'fa
超过无边恶趣门,chao'guo'wu'bian'e'qu'men
超过于彼,chao'guo'yu'bi
超日月光,chao'ri'yue'guang
超胜独妙,chao'sheng'du'miao
超世希有,chao'shi'xi'you
超世希有第十八,chao'shi'xi'you'di'shi'ba
超于日月,chao'yu'ri'yue
超逾十方一切世界,chao'yu'shi'fang'yi'qie'shi'jie
彻听,che'ting
彻听八方,che'ting'ba'fang
彻照,che'zhao
彻照十方愿,che'zhao'shi'fang'yuan
嗔恚愚痴,chen'hui'yu'chi
尘劳垢习,chen'lao'gou'xi
成大困剧,cheng'da'kun'ju
乘佛威德悉能超,cheng'fo'wei'de'xi'neng'chao
承佛威神,cheng'fo'wei'shen
成佛以来,cheng'fo'yi'lai
成就菩提果,cheng'jiu'pu'ti'guo
成就善根,cheng'jiu'shan'gen
成就无量功德,cheng'jiu'wu'liang'gong'de
成就一切智慧,cheng'jiu'yi'qie'zhi'hui
称念,cheng'nian
称念南无阿弥陀佛,cheng'nian'nan'wu'e'mi'tuo'fo
称其形色,cheng'qi'xing'se
成熟菩萨无边善根,cheng'shu'pu'sa'wu'bian'shan'gen
成熟善根,cheng'shu'shan'gen
成无上菩提,cheng'wu'shang'pu'ti
称扬,cheng'yang
称赞,cheng'zan
成正觉已,cheng'zheng'jue'yi
成最正觉,cheng'zui'zheng'jue
痴恶,chi'e
持戒,chi'jie
池流华树,chi'liu'hua'shu
炽盛如火,chi'sheng'ru'huo
持诵,chi'song
痴欲所迫,chi'yu'suo'po
持诸禁戒,chi'zhu'jin'jie
重重诲勉第三十六,chong'chong'hui'mian'di'san'shi'liu
崇德兴仁,chong'de'xing'ren
愁痛酷毒,chou'tong'ku'du
触光安乐愿,chu'guang'an'le'yuan
除其本愿,chu'qi'ben'yuan
触其光影,chu'qi'guang'ying
出入供养,chu'ru'gong'yang
出三十六百千亿佛,chu'san'shi'liu'bai'qian'yi'fo
出三十六百千亿光,chu'san'shi'liu'bai'qian'yi'guang
出生善根,chu'sheng'shan'gen
出生众善根,chu'sheng'zhong'shan'gen
出随喜声,chu'sui'xi'sheng
出微妙音,chu'wei'miao'yin
出五音声,chu'wu'yin'sheng
处于宫殿,chu'yu'gong'dian
出于海面,chu'yu'hai'mian
出种种香,chu'zhong'zhong'xiang
出种种音,chu'zhong'zhong'yin
吹诸罗网,chui'zhu'luo'wang
吹诸枝叶,chui'zhu'zhi'ye
纯白银树,chun'bai'yin'shu
淳净温和,chun'jing'wen'he
此宝所成,ci'bao'suo'cheng
此等众生,ci'deng'zhong'sheng
此二菩萨,ci'er'pu'sa
此会四众,ci'hui'si'zhong
此皆无量寿佛,ci'jie'wu'liang'shou'fo
此皆无量寿佛本愿加威,ci'jie'wu'liang'shou'fo'ben'yuan'jia'wei
此毛尘水,ci'mao'chen'shui
此人临命终时,ci'ren'lin'ming'zhong'shi
此人临终梦见彼佛,ci'ren'lin'zhong'meng'jian'bi'fo
慈氏白言,ci'shi'bai'yan
慈氏述见第三十九,ci'shi'shu'jian'di'san'shi'jiu
慈心教诲,ci'xin'jiao'hui
慈心精进,ci'xin'jing'jin
慈心清净,ci'xin'qing'jing
慈心专一,ci'xin'zhuan'yi
慈心作善,ci'xin'zuo'shan
此亦为难,ci'yi'wei'nan
此诸菩萨,ci'zhu'pu'sa
此诸众生,ci'zhu'zhong'sheng
从本以来,cong'ben'yi'lai
从苦入苦,cong'ku'ru'ku
从乐入乐,cong'le'ru'le
丛林,cong'lin
从冥入冥,cong'ming'ru'ming
从明入明,cong'ming'ru'ming
从无量音佛刹,cong'wu'liang'yin'fo'sha
从昔以来,cong'xi'yi'lai
从小微起,cong'xiao'wei'qi
从心所愿,cong'xin'suo'yuan
从远照佛刹,cong'yuan'zhao'fo'sha
摧伏一切魔军,cui'fu'yi'qie'mo'jun
大乘广智,da'cheng'guang'zhi
大乘无量寿,da'cheng'wu'liang'shou
大慈大悲阿弥陀佛,da'ci'da'bei'e'mi'tuo'fo
大慈大悲喜舍声,da'ci'da'bei'xi'she'sheng
大慈等故,da'ci'deng'gu
大慈听察,da'ci'ting'cha
大地清净,da'di'qing'jing
大教缘起第三,da'jiao'yuan'qi'di'san
大命将终,da'ming'jiang'zhong
大千应感动,da'qian'ying'gan'dong
大士神光第二十八,da'shi'shen'guang'di'er'shi'ba
大士所修坚固之法,da'shi'suo'xiu'jian'gu'zhi'fa
大修功德,da'xiu'gong'de
大音宣布一切世界,da'yin'xuan'bu'yi'qie'shi'jie
达众生相,da'zhong'sheng'xiang
淡安无欲,dan'an'wu'yu
但得前行,dan'de'qian'xing
但见色闻香以意为食,dan'jian'se'wen'xiang'yi'yi'wei'shi
耽酒嗜美,dan'jiu'shi'mei
但乐忆念过去诸佛,dan'le'yi'nian'guo'qu'zhu'fo
但说其名,dan'shuo'qi'ming
但为将来众生破除疑网,dan'wei'jiang'lai'zhong'sheng'po'chu'yi'wang
但以酬愿度生,dan'yi'chou'yuan'du'sheng
但以世智聪辩,dan'yi'shi'zhi'cong'bian
但以种种方便,dan'yi'zhong'zhong'fang'bian
但因顺余方俗,dan'yin'shun'yu'fang'su
但有自然快乐之音,dan'you'zi'ran'kuai'le'zhi'yin
但自归命观世音菩萨,dan'zi'gui'ming'guan'shi'yin'pu'sa
当发无上菩提之心,dang'fa'wu'shang'pu'ti'zhi'xin
当获广大一切智智,dang'huo'guang'da'yi'qie'zhi'zhi
当获如上所说功德,dang'huo'ru'shang'suo'shuo'gong'de
当坚持之,dang'jian'chi'zhi
当来之世,dang'lai'zhi'shi
当来诸天人民一切含灵,dang'lai'zhu'tian'ren'min'yi'qie'han'ling
当历恶趣,dang'li'e'qu
当离三涂忧怖苦痛之道,dang'li'san'tu'you'bu'ku'tong'zhi'dao
当令是法久住不灭,dang'ling'shi'fa'jiu'zhu'bu'mie
当起精进,dang'qi'jing'jin
当勤精进,dang'qin'jing'jin
当求度世,dang'qiu'du'shi
当求者,dang'qiu'zhe
当日没处,dang'ri'mei'chu
当入其中,dang'ru'qi'zhong
当生彼国,dang'sheng'bi'guo
当生佛刹,dang'sheng'fo'sha
当生极乐国者,dang'sheng'ji'le'guo'zhe
当时快意,dang'shi'kuai'yi
当斯之时,dang'si'zhi'shi
当往生者,dang'wang'sheng'zhe
当相敬爱,dang'xiang'jing'ai
当孝于佛,dang'xiao'yu'fo
当信佛经语深,dang'xin'fo'jing'yu'shen
当信作善得福,dang'xin'zuo'shan'de'fu
当有众生,dang'you'zhong'sheng
当雨珍妙华,dang'yu'zhen'miao'hua
当知,dang'zhi
当知此人,dang'zhi'ci'ren
当知此人非是小乘,dang'zhi'ci'ren'fei'shi'xiao'cheng
当知此人为得大利,dang'zhi'ci'ren'wei'de'da'li
当自端身,dang'zi'duan'shen
当自端心,dang'zi'duan'xin
当作佛者,dang'zuo'fo'zhe
道场树高,dao'chang'shu'gao
道路不同,dao'lu'bu'tong
道止佛国界边,dao'zhi'fo'guo'jie'bian
得阿那含果,de'a'na'han'guo
得报之时,de'bao'zhi'shi
得不退忍,de'bu'tui'ren
得不退转,de'bu'tui'zhuan
得不退转无上菩提,de'bu'tui'zhuan'wu'shang'pu'ti
得大善利,de'da'shan'li
得道往生,de'dao'wang'sheng
得法眼净,de'fa'yan'jing
德风华雨第二十,de'feng'hua'yu'di'er'shi
得佛辩才,de'fo'bian'cai
得名第一弟子,de'ming'di'yi'di'zi
得泥洹道,de'ni'huan'dao
得平等住,de'ping'deng'zhu
得清净信,de'qing'jing'xin
得生其国,de'sheng'qi'guo
德首佛刹,de'shou'fo'sha
得授记法忍,de'shou'ji'fa'ren
得未曾有,de'wei'ceng'you
得微妙法,de'wei'miao'fa
得为三界雄,de'wei'san'jie'xiong
得闻阿弥陀佛名号,de'wen'e'mi'tuo'fo'ming'hao
得闻如是种种声已,de'wen'ru'shi'zhong'zhong'sheng'yi
得无生无灭诸三摩地,de'wu'sheng'wu'mie'zhu'san'mo'di
得一乘道,de'yi'cheng'dao
得至清净处,de'zhi'qing'jing'chu
德遵普贤第二,de'zun'pu'xian'di'er
得是愿,dei'shi'yuan
等正觉,deng'zheng'jue
地布金沙,di'bu'jin'sha
第六天王,di'liu'tian'wang
帝王若比转轮圣王,di'wang'ruo'bi'zhuan'lun'sheng'wang
地狱,di'yu
颠倒相续,dian'dao'xiang'xu
迭相顾恋,die'xiang'gu'lian
迭相吞啖,die'xiang'tun'dan
定成正觉愿,ding'cheng'zheng'jue'yuan
顶礼白言,ding'li'bai'yan
顶礼长跪,ding'li'chang'gui
顶礼供养,ding'li'gong'yang
顶礼之间,ding'li'zhi'jian
定生彼国,ding'sheng'bi'guo
定中常供,ding'zhong'chang'gong
定中供佛愿,ding'zhong'gong'fo'yuan
东北方宝藏佛刹,dong'bei'fang'bao'zang'fo'sha
洞达无边际,dong'da'wu'bian'ji
洞达无极,dong'da'wu'ji
东方恒河沙数世界,dong'fang'heng'he'sha'shu'shi'jie
东方诸佛刹,dong'fang'zhu'fo'sha
动作瞻视,dong'zuo'zhan'shi
都不之信,dou'bu'zhi'xin
斗乱僧众,dou'luan'seng'zhong
兜率乃至色无色界,dou'lv'nai'zhi'se'wu'se'jie
都入海中,dou'ru'hai'zhong
都胜无数诸佛国者,dou'sheng'wu'shu'zhu'fo'guo'zhe
都无所著,dou'wu'suo'zhu
都悉集会七宝讲堂,dou'xi'ji'hui'qi'bao'jiang'tang
杜恶趣,du'e'qu
独佛知耳,du'fo'zhi'er
度尽无边苦众生,du'jin'wu'bian'ku'zhong'sheng
独留此经第四十五,du'liu'ci'jing'di'si'shi'wu
睹菩提树,du'pu'ti'shu
睹其面像,du'qi'mian'xiang
独去独来,du'qu'du'lai
独生独死,du'sheng'du'si
睹斯光者,du'si'guang'zhe
读诵,du'song
读诵赞演并供养,du'song'zan'yan'bing'gong'yang
度脱,du'tuo
度未度者,du'wei'du'zhe
杜众恶源,du'zhong'e'yuan
度诸有情,du'zhu'you'qing
独作诸善,du'zuo'zhu'shan
断除疑惑,duan'chu'yi'huo
端身正念,duan'shen'zheng'nian
端心正意,duan'xin'zheng'yi
端圆周匝,duan'yuan'zhou'za
端正净洁,duan'zheng'jing'jie
端正身心,duan'zheng'shen'xin
顿夺其寿,dun'duo'qi'shou
多所饶益,duo'suo'rao'yi
多有菩萨,duo'you'pu'sa
堕于疑悔,duo'yu'yi'hui
多诸宝树,duo'zhu'bao'shu
恶臭不净,e'chou'bu'jing
恶道不绝,e'dao'bu'jue
恶道自闭塞,e'dao'zi'bi'se
饿鬼,e'gui
恶骄懈怠及邪见,e'jiao'xie'dai'ji'xie'jian
恶口,e'kou
阿弥陀佛,e'mi'tuo'fo
阿弥陀佛光明善好,e'mi'tuo'fo'guang'ming'shan'hao
阿弥陀佛化现其身,e'mi'tuo'fo'hua'xian'qi'shen
阿弥陀佛清净佛国,e'mi'tuo'fo'qing'jing'fo'guo
阿弥陀佛威神光明,e'mi'tuo'fo'wei'shen'guang'ming
阿弥陀佛于彼高座,e'mi'tuo'fo'yu'bi'gao'zuo
阿弥陀佛种种功德,e'mi'tuo'fo'zhong'zhong'gong'de
恶气冥冥,e'qi'ming'ming
恶趣,e'qu
恶人行恶,e'ren'xing'e
恩德布施八方上下,en'de'bu'shi'ba'fang'shang'xia
而白佛言,er'bai'fo'yan
二百一十亿诸佛刹土,er'bai'yi'shi'yi'zhu'fo'sha'tu
而不肯为,er'bu'ken'wei
而不肯信,er'bu'ken'xin
而不求生,er'bu'qiu'sheng
二不偷盗,er'bu'tou'dao
而不杂乱,er'bu'za'luan
而不自在,er'bu'zi'zai
而常,er'chang
而得自在,er'de'zi'zai
而得最胜自在故,er'dei'zui'sheng'zi'zai'gu
耳目口鼻,er'mu'kou'bi
而能成就佛刹庄严,er'neng'cheng'jiu'fo'sha'zhuang'yan
二柔顺忍,er'rou'shun'ren
尔时法藏比丘说此愿已,er'shi'fa'zang'bi'qiu'shuo'ci'yuan'yi
尔时法藏闻佛所说,er'shi'fa'zang'wen'fo'suo'shuo
尔时佛告阿难,er'shi'fo'gao'a'nan
尔时极乐世界,er'shi'ji'le'shi'jie
尔时三千大千世界,er'shi'san'qian'da'qian'shi'jie
尔时世尊,er'shi'shi'zun
尔时世尊而说颂曰,er'shi'shi'zun'er'shuo'song'yue
尔时世尊即说颂曰,er'shi'shi'zun'ji'shuo'song'yue
尔时世尊说此经法,er'shi'shi'zun'shuo'ci'jing'fa
二十五亿众生,er'shi'wu'yi'zhong'sheng
二十亿众生,er'shi'yi'zhong'sheng
二十由旬,er'shi'you'xun
而未能出三界狱中,er'wei'neng'chu'san'jie'yu'zhong
而为上首,er'wei'shang'shou
而现灭度,er'xian'mie'du
而以金锁系其两足,er'yi'jin'suo'xi'qi'liang'zu
二余俱尽,er'yu'ju'jin
而作佛事,er'zuo'fo'shi
发大誓愿第六,fa'da'shi'yuan'di'liu
发广大愿,fa'guang'da'yuan
法会圣众第一,fa'hui'sheng'zhong'di'yi
发菩提心,fa'pu'ti'xin
发清净心,fa'qing'jing'xin
发趣一乘,fa'qu'yi'cheng
发斯弘誓愿已,fa'si'hong'shi'yuan'yi
法眼清净,fa'yan'qing'jing
发一念心念于彼佛,fa'yi'nian'xin'nian'yu'bi'fo
法音雷震,fa'yin'lei'zhen
法音普及无边界,fa'yin'pu'ji'wu'bian'jie
法藏白言,fa'zang'bai'yan
法藏比丘,fa'zang'bi'qiu
法藏比丘说此偈已,fa'zang'bi'qiu'shuo'ci'ji'yi
法藏成佛号阿弥陀,fa'zang'cheng'fo'hao'a'mi'tuo
法藏菩萨成菩提者,fa'zang'pu'sa'cheng'pu'ti'zhe
法藏因地第四,fa'zang'yin'di'di'si
幡盖,fan'gai
烦满胸中,fan'man'xiong'zhong
饭食沙门,fan'shi'sha'men
凡有三辈,fan'you'san'bei
放大光明,fang'da'guang'ming
方得解脱,fang'de'jie'tuo
放无量光,fang'wu'liang'guang
放恣游散,fang'zi'you'san
诽谤正法,fei'bang'zheng'fa
非过现未来,fei'guo'xian'wei'lai
飞化遍诸刹,fei'hua'bian'zhu'sha
非世所有,fei'shi'suo'you
非是小乘第四十三,fei'shi'xiao'cheng'di'si'shi'san
非是语言分别之所能知,fei'shi'yu'yan'fen'bie'zhi'suo'neng'zhi
费损家财,fei'sun'jia'cai
非我境界,fei'wo'jing'jie
非易可遇,fei'yi'ke'yu
非以算计譬喻之所能知,fei'yi'suan'ji'pi'yu'zhi'suo'neng'zhi
分别解说,fen'bie'jie'shuo
分别西方,fen'bie'xi'fang
焚漂劫夺,fen'piao'jie'duo
焚烧人身,fen'shao'ren'shen
芬陀利华,fen'tuo'li'hua
奉持经戒,feng'chi'jing'jie
奉持如是等法,feng'chi'ru'shi'deng'fa
奉持斋戒,feng'chi'zhai'jie
风触其身,feng'chu'qi'shen
奉事师长,feng'shi'shi'zhang
奉事万亿佛,feng'shi'wan'yi'fo
奉行六波罗蜜,feng'xing'liu'bo'luo'mi
风雨以时,feng'yu'yi'shi
奉诸珍妙供,feng'zhu'zhen'miao'gong
佛不使尔,fo'bu'shi'er
佛告阿难,fo'gao'a'nan
佛告慈氏,fo'gao'ci'shi
佛告弥勒,fo'gao'mi'le
佛告弥勒菩萨,fo'gao'mi'le'pu'sa
