肠道湿热证,chang'dao'shi're'zheng
血枯证,xue'ku'zheng
阳明热结证,yang'ming're'jie'zheng
阴寒凝滞证,yin'han'ning'zhi'zheng
阴虚肝旺证,yin'xu'gan'wang'zheng
阴阳离决证,yin'yang'li'jue'zheng
瘀血痹阻证,yu'xue'bi'zu'zheng
瘀血留滞证,yu'xue'liu'zhi'zheng
瘀血内阻证,yu'xue'nei'zu'zheng
瘀血停着证,yu'xue'ting'zhe'zheng
瘀血停滞证,yu'xue'ting'zhi'zheng
燥热伤肺证,zao're'shang'fei'zheng
燥邪犯肺证,zao'xie'fan'fei'zheng
正虚邪实证,zheng'xu'xie'shi'zheng
中虚脏寒证,zhong'xu'zang'han'zheng
