凹凸,ao'tu
精神思维区,jing'shen'si'wei'qu
頸椎段,jing'zhui'duan
颈椎段,jing'zhui'duan
井字状纹,jing'zi'zhuang'wen
井字狀紋,jing'zi'zhuang'wen
九大分区,jiu'da'fen'qu
九条辅线,jiu'tiao'fu'xian
聚散,ju'san
开放性纹理,kai'fang'xing'wen'li
開放性紋理,kai'fang'xing'wen'li
坎区,kan'qu
坎區,kan'qu
客色,ke'se
孔子目,kong'zi'mu
快慢,kuai'man
坤区,kun'qu
坤區,kun'qu
离环,li'huan
离火环,li'huo'huan
離火環,li'huo'huan
离区,li'qu
離區,li'qu
菱形紋,ling'xing'wen
菱形纹,ling'xing'wen
梦幻纹,meng'huan'wen
夢幻線,meng'huan'xian
梦幻线,meng'huan'xian
米字状纹,mi'zi'zhuang'wen
米字狀紋,mi'zi'zhuang'wen
妙手茶,miao'shou'cha
命门区,ming'men'qu
明堂,ming'tang
無名指,mo'ming'zhi
拇食指距,mu'shi'zhi'ju
木形手,mu'xing'shou
拇指,mu'zhi
脑段,nao'duan
腦段,nao'duan
脑神经区,nao'shen'jing'qu
腦神經區,nao'shen'jing'qu
脑线,nao'xian
腦線,nao'xian
脑血管病因段,nao'xue'guan'bing'yin'duan
腦血管病因段,nao'xue'guan'bing'yin'duan
內分泌段,nei'fen'mi'duan
内分泌段,nei'fen'mi'duan
内分泌纹,nei'fen'mi'wen
內分泌線,nei'fen'mi'xian
内分泌线,nei'fen'mi'xian
逆反纹,ni'fan'wen
年轮季节轴,nian'lun'ji'jie'zhou
暖手茶,nuan'shou'cha
盘龙云海,pan'long'yun'hai
盤龍雲海,pan'long'yun'hai
胖瘦,pang'shou
脾肾区,pi'shen'qu
脾腎區,pi'shen'qu
脾胃区,pi'wei'qu
脾胃區,pi'wei'qu
气管器质区,qi'guan'qi'zhi'qu
前列腺区,qian'lie'xian'qu
前列腺區,qian'lie'xian'qu
乾区,qian'qu
乾區,qian'qu
浅深,qian'shen
淺深,qian'shen
乾生線,qian'sheng'xian
乾生线,qian'sheng'xian
千手观音,qian'shou'guan'yin
桥贯纹,qiao'guan'wen
桥贯线,qiao'guan'xian
橋貫線,qiao'guan'xian
青斑,qing'ban
青色,qing'se
清浊,qing'zhuo
清濁,qing'zhuo
区域观察,qu'yu'guan'cha
人生輔線,ren'sheng'fu'xian
人生辅线,ren'sheng'fu'xian
人生線,ren'sheng'xian
人生线,ren'sheng'xian
人体电信干扰临界值,ren'ti'dian'xin'gan'rao'lin'jie'zhi
人文,ren'wen
人紋,ren'wen
人纹,ren'wen
人文手診,ren'wen'shou'zhen
人文手诊,ren'wen'shou'zhen
人文手診學派,ren'wen'shou'zhen'xue'pai
人文手诊学派,ren'wen'shou'zhen'xue'pai
榮枯,rong'ku
荣枯,rong'ku
乳腺段,ru'xian'duan
乳腺区,ru'xian'qu
兌區,rui'qu
三大主線,san'da'zhu'xian
三大主线,san'da'zhu'xian
三焦区,san'jiao'qu
三角形紋,san'jiao'xing'wen
三角形纹,san'jiao'xing'wen
三轮时间轴,san'lun'shi'jian'zhou
三因定理,san'yin'ding'li
上指節紋,shang'zhi'jie'wen
上指节纹,shang'zhi'jie'wen
肾功能区,shen'gong'neng'qu
肾区,shen'qu
腎區,shen'qu
肾腰生殖段,shen'yao'sheng'zhi'duan
腎腰生殖段,shen'yao'sheng'zhi'duan
生命線,sheng'ming'xian
生命线,sheng'ming'xian
生育線,sheng'yu'xian
生育线,sheng'yu'xian
生殖段,sheng'zhi'duan
十大病線,shi'da'bing'xian
十大病线,shi'da'bing'xian
食道胃段,shi'dao'wei'duan
十二经运行时辰轴,shi'er'jing'yun'xing'shi'chen'zhou
世界手诊医学协会,shi'jie'shou'zhen'yi'xue'xie'hui
世界手診醫學協會,shi'jie'shou'zhen'yi'xue'xie'kuai
十四经运行时辰轴,shi'si'jing'yun'xing'shi'chen'zhou
事业线,shi'ye'xian
事業線,shi'ye'xian
食指,shi'zhi
食中指距,shi'zhong'zhi'ju
十字紋,shi'zi'wen
十字纹,shi'zi'wen
手背,shou'bei
手痴,shou'chi
手道,shou'dao
手道茶,shou'dao'cha
手道如来香炉,shou'dao'ru'lai'xiang'lu
手道双手香炉,shou'dao'shuang'shou'xiang'lu
手道堂,shou'dao'tang
手道养生,shou'dao'yang'sheng
手道养生八法,shou'dao'yang'sheng'ba'fa
手道养生功,shou'dao'yang'sheng'gong
手道养生香,shou'dao'yang'sheng'xiang
手豆,shou'dou
手豆保健,shou'dou'bao'jian
手頸線,shou'jing'xian
手颈线,shou'jing'xian
手狂,shou'kuang
手神,shou'shen
手圣,shou'sheng
手生,shou'sheng
手术线,shou'shu'xian
手腕线,shou'wan'xian
手相,shou'xiang
手形指南,shou'xing'zhi'nan
手穴,shou'xue
手油,shou'you
手浴,shou'yu
手玉,shou'yu
手浴养生,shou'yu'yang'sheng
手診,shou'zhen
手诊,shou'zhen
手診按摩,shou'zhen'an'mo
手诊按摩,shou'zhen'an'mo
手診八卦,shou'zhen'ba'gua
手诊八卦,shou'zhen'ba'gua
手诊电视台,shou'zhen'dian'shi'tai
手診定理,shou'zhen'ding'li
手诊定理,shou'zhen'ding'li
手診綱目,shou'zhen'gang'mu
手诊纲目,shou'zhen'gang'mu
手診綱目圖譜,shou'zhen'gang'mu'tu'pu
手诊纲目图谱,shou'zhen'gang'mu'tu'pu
手診濟天下健康創未來,shou'zhen'ji'tian'xia'jian'kang'chuang'wei'lai
手诊济天下健康创未来,shou'zhen'ji'tian'xia'jian'kang'chuang'wei'lai
手诊健康医学网,shou'zhen'jian'kang'yi'xue'wang
手诊灸,shou'zhen'jiu
手诊灸法,shou'zhen'jiu'fa
手診九區,shou'zhen'jiu'qu
手诊九区,shou'zhen'jiu'qu
手诊康客,shou'zhen'kang'ke
手诊康客网,shou'zhen'kang'ke'wang
手诊调理,shou'zhen'tiao'li
手診通玄,shou'zhen'tong'xuan
手诊通玄,shou'zhen'tong'xuan
手诊图像智能分析,shou'zhen'tu'xiang'zhi'neng'fen'xi
手诊养生,shou'zhen'yang'sheng
手诊养生笔,shou'zhen'yang'sheng'bi
手诊养生纲目图谱,shou'zhen'yang'sheng'gang'mu'tu'pu
手診醫學,shou'zhen'yi'xue
手诊医学,shou'zhen'yi'xue
手诊医学论坛,shou'zhen'yi'xue'lun'tan
手诊医学杂志,shou'zhen'yi'xue'za'zhi
手诊医学脏腑挂图,shou'zhen'yi'xue'zang'fu'gua'tu
手诊脏腑电信,shou'zhen'zang'fu'dian'xin
手诊脏腑电信基准比率,shou'zhen'zang'fu'dian'xin'ji'zhun'bi'lv
手诊脏腑电信探诊,shou'zhen'zang'fu'dian'xin'tan'zhen
手诊脏腑分区单手个,shou'zhen'zang'fu'fen'qu'dan'shou'ge
手诊脏腑分区共分个,shou'zhen'zang'fu'fen'qu'gong'fen'ge
手診真經,shou'zhen'zhen'jing
手诊真经,shou'zhen'zhen'jing
手診主線,shou'zhen'zhu'xian
手诊主线,shou'zhen'zhu'xian
手痣,shou'zhi
雙龍戲珠,shuang'long'hu'zhu
双龙戏珠,shuang'long'xi'zhu
水平線,shui'ping'xian
水平线,shui'ping'xian
水形手,shui'xing'shou
宿便毒素,su'bian'du'su
太阳线,tai'yang'xian
太陽線,tai'yang'xian
体质隐患,ti'zhi'yin'huan
天轮时辰轴,tian'lun'shi'chen'zhou
天紋,tian'wen
天纹,tian'wen
通貫掌,tong'guan'zhang
通贯掌,tong'guan'zhang
头脑线,tou'nao'xian
土形手,tu'xing'shou
腕横纹,wan'heng'wen
腕橫紋,wan'heng'wen
網格紋,wang'ge'wen
网格纹,wang'ge'wen
望色基础,wang'se'ji'chu
望色基礎,wang'se'ji'chu
望色十綱,wang'se'shi'gang
望色十纲,wang'se'shi'gang
望态基础,wang'tai'ji'chu
望態基礎,wang'tai'ji'chu
胃区,wei'qu
胃區,wei'qu
紋理,wen'li
纹理,wen'li
温凉,wen'liang
溫涼,wen'liang
无名指,wu'ming'zhi
无小指距,wu'xiao'zhi'ju
悉尼線,xi'ni'xian
悉尼线,xi'ni'xian
下指節紋,xia'zhi'jie'wen
下指节纹,xia'zhi'jie'wen
先天禀赋线,xian'tian'bing'fu'xian
先天稟賦線,xian'tian'bing'fu'xian
小肠段,xiao'chang'duan
小腸段,xiao'chang'duan
小肠区,xiao'chang'qu
小环纹,xiao'huan'wen
小离环,xiao'li'huan
小離環,xiao'li'huan
小魚際,xiao'yu'ji
小鱼际,xiao'yu'ji
小指,xiao'zhi
心理感应区,xin'li'gan'ying'qu
心理感應區,xin'li'gan'ying'qu
心理压力段,xin'li'ya'li'duan
心理壓力段,xin'li'ya'li'duan
心線,xin'xian
心线,xin'xian
心脏病因段,xin'zang'bing'yin'duan
心髒病因段,xin'zang'bing'yin'duan
心脏段,xin'zang'duan
心髒段,xin'zang'duan
心脏核心区,xin'zang'he'xin'qu
心脏区,xin'zang'qu
心髒區,xin'zang'qu
心脏线,xin'zang'xian
心脏血管段,xin'zang'xue'guan'duan
心髒血管段,xin'zang'xue'guan'duan
性能纹,xing'neng'wen
性能線,xing'neng'xian
性能线,xing'neng'xian
性線,xing'xian
性线,xing'xian
星形紋,xing'xing'wen
星形纹,xing'xing'wen
胸腺区,xiong'xian'qu
血糖段,xue'tang'duan
血液毒素,xue'ye'du'su
血液毒素段,xue'ye'du'su'duan
血液毒素区,xue'ye'du'su'qu
巽区,xun'qu
巽區,xun'qu
腰肾段,yao'shen'duan
腰腎段,yao'shen'duan
药种敷贴,yao'zhong'fu'tie
腰椎区,yao'zhui'qu
腰椎區,yao'zhui'qu
胰腺区,yi'xian'qu
阴道直肠区,yin'dao'zhi'chang'qu
陰道直腸區,yin'dao'zhi'chang'qu
阴茎直肠区,yin'jing'zhi'chang'qu
陰莖直腸區,yin'jing'zhi'chang'qu
硬軟,ying'ruan
硬软,ying'ruan
右侧睾丸区,you'ce'gao'wan'qu
右侧卵巢区,you'ce'luan'chao'qu
右侧脑谢管区,you'ce'nao'xie'guan'qu
右侧盆腔区,you'ce'pen'qiang'qu
右肾区,you'shen'qu
右腎區,you'shen'qu
右心房心室区,you'xin'fang'xin'shi'qu
右側睾丸區,you'ze'gao'wan'qu
右側卵巢區,you'ze'luan'chao'qu
右側腦謝管區,you'ze'nao'xie'guan'qu
右側盆腔區,you'ze'pen'qiang'qu
玉柱線,yu'zhu'xian
玉柱线,yu'zhu'xian
圆形纹,yuan'xing'wen
圓形紋,yuan'xing'wen
脏腑电信,zang'fu'dian'xin
脏腑分段,zang'fu'fen'duan
髒腑分段,zang'fu'fen'duan
脏腑分段单手段,zang'fu'fen'duan'dan'shou'duan
脏腑分段共段,zang'fu'fen'duan'gong'duan
脏腑分区,zang'fu'fen'qu
脏腑分区单手个,zang'fu'fen'qu'dan'shou'ge
脏腑分区共分个,zang'fu'fen'qu'gong'fen'ge
臟象,zang'xiang
藏象,zang'xiang
臟象段,zang'xiang'duan
臟象区,zang'xiang'qu
早熟線,zao'shu'xian
早熟线,zao'shu'xian
掌紋,zhang'wen
掌纹,zhang'wen
掌紋醫學,zhang'wen'yi'xue
掌纹医学,zhang'wen'yi'xue
震区,zhen'qu
震區,zhen'qu
真通貫,zhen'tong'guan
真通贯,zhen'tong'guan
郑州手诊科技有限公司,zheng'zhou'shou'zhen'ke'ji'you'xian'gong'si
智慧線,zhi'hui'xian
智慧线,zhi'hui'xian
指節紋,zhi'jie'wen
指节纹,zhi'jie'wen
指距,zhi'ju
支气管区,zhi'qi'guan'qu
支氣管區,zhi'qi'guan'qu
指纹,zhi'wen
指纹辨证,zhi'wen'bian'zheng
指象,zhi'xiang
指象求证,zhi'xiang'qiu'zheng
中无指距,zhong'wu'zhi'ju
中指,zhong'zhi
中指節紋,zhong'zhi'jie'wen
中指节纹,zhong'zhi'jie'wen
中軸線,zhong'zhou'xian
中轴线,zhong'zhou'xian
周轮天数轴,zhou'lun'tian'shu'zhou
主色,zhu'se
主線,zhu'xian
主线,zhu'xian
主线分析,zhu'xian'fen'xi
主线脏腑分段,zhu'xian'zang'fu'fen'duan
主线脏腑分段单手段,zhu'xian'zang'fu'fen'duan'dan'shou'duan
主线脏腑分段共段,zhu'xian'zang'fu'fen'duan'gong'duan
子宫颈区,zi'gong'jing'qu
子宮頸區,zi'gong'jing'qu
子宫体区,zi'gong'ti'qu
子宮體區,zi'gong'ti'qu
子女線,zi'nv'xian
子女线,zi'nv'xian
字诊,zi'zhen
字诊心法,zi'zhen'xin'fa
縱切紋,zong'qie'wen
纵切纹,zong'qie'wen
左侧睾丸区,zuo'ce'gao'wan'qu
左侧卵巢区,zuo'ce'luan'chao'qu
左侧脑血管区,zuo'ce'nao'xue'guan'qu
左侧盆腔区,zuo'ce'pen'qiang'qu
左肾区,zuo'shen'qu
左腎區,zuo'shen'qu
左心房心室区,zuo'xin'fang'xin'shi'qu
左側睾丸區,zuo'ze'gao'wan'qu
左側卵巢區,zuo'ze'luan'chao'qu
左側腦血管區,zuo'ze'nao'xue'guan'qu
左側盆腔區,zuo'ze'pen'qiang'qu
