阿难陀,a'nan'tuo
尚无恶道之名,shang'wu'e'dao'zhi'ming
上有楼阁,shang'you'lou'ge
舍利,she'li
舍利弗,she'li'fu
生彼国土,sheng'bi'guo'tu
盛众妙华,sheng'zhong'miao'hua
是故彼国名为极乐,shi'gu'bi'guo'ming'wei'ji'le
是故号为阿弥陀,shi'gu'hao'wei'a'mi'tuo
是人终时,shi'ren'zhong'shi
是诸众鸟,shi'zhu'zhong'niao
说诚实言,shuo'cheng'shi'yan
四边阶道,si'bian'jie'dao
宿王佛,su'wang'fo
所以者何,suo'yi'zhe'he
同时俱作,tong'shi'ju'zuo
网明佛,wang'ming'fo
微风吹动诸宝行树,wei'feng'chui'dong'zhu'bao'hang'shu
微妙香洁,wei'miao'xiang'jie
闻是音已,wen'shi'yin'yi
闻是音者,wen'shi'yin'zhe
文殊师利法王子,wen'shu'shi'li'fa'wang'zi
闻说阿弥陀佛,wen'shuo'a'mi'tuo'fo
我见是利,wo'jian'shi'li
五力,wu'li
无量精进佛,wu'liang'jing'jin'fo
无量无边阿僧祇劫,wu'liang'wu'bian'a'seng'chi'jie
无量相佛,wu'liang'xiang'fo
无量诸天大众俱,wu'liang'zhu'tian'da'zhong'ju
无量幢佛,wu'liang'zhuang'fo
无所障碍,wu'suo'zhang'ai
无有众苦,wu'you'zhong'ku
西方世界,xi'fang'shi'jie
下方世界,xia'fang'shi'jie
现在其前,xian'zai'qi'qian
心不颠倒,xin'bu'dian'dao
须弥灯佛,xu'mi'deng'fo
须弥光佛,xu'mi'guang'fo
须弥相佛,xu'mi'xiang'fo
姚秦三藏法师鸠摩罗什译,yao'qin'san'zang'fa'shi'jiu'mo'luo'shen'yi
亦复如是,yi'fu'ru'shi
一时佛在舍卫国祇树给孤独园,yi'shi'fo'zai'she'wei'guo'chi'shu'ji'gu'du'yuan
一心不乱,yi'xin'bu'luan
亦以金,yi'yi'jin
银,yin
应当发愿,ying'dang'fa'yuan
鹦鹉,ying'wu
有梵音佛,you'fan'yin'fo
有七宝池,you'qi'bao'chi
有日月灯佛,you'ri'yue'deng'fo
又舍利弗,you'she'li'fu
有世界名曰极乐,you'shi'jie'ming'yue'ji'le
有师子佛,you'shi'zi'fo
有无量寿佛,you'wu'liang'shou'fo
有焰肩佛,you'yan'jian'fo
与大比丘僧千二百五十人俱,yu'da'bi'qiu'seng'qian'er'bai'wu'shi'ren'ju
于今十劫,yu'jin'shi'jie
与如是等诸大菩萨,yu'ru'shi'deng'zhu'da'pu'sa
于汝意云何,yu'ru'yi'yun'he
雨天曼陀罗华,yu'tian'man'tuo'luo'hua
愿生彼国,yuan'sheng'bi'guo
赞叹阿弥陀佛不可思议功德之利,zan'tan'a'mi'tuo'fo'bu'ke'si'yi'gong'de'zhi'li
长老舍利弗,zhang'lao'she'li'fu
照十方国,zhao'shi'fang'guo
执持名号,zhi'chi'ming'hao
众生生者,zhong'sheng'sheng'zhe
众生闻者,zhong'sheng'wen'zhe
众所知识,zhong'suo'zhi'shi
周利槃陀伽,zhou'li'pan'tuo'qie
昼夜六时,zhou'ye'liu'shi
诸菩萨众,zhu'pu'sa'zhong
自然皆生念佛,zi'ran'jie'sheng'nian'fo
最胜音佛,zui'sheng'yin'fo
